"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NESTLEIND","12-Dec-2019","27-Feb-2020","0","0","0","14403.7","14403.7","14326.65","0","0","50","0","      14154.95"
"NESTLEIND","13-Dec-2019","26-Dec-2019","14289.6","14405.8","14070.8","14347.4","14360.05","14347.4","2246","15994.14","416100","-5900","      14301.60"
"NESTLEIND","13-Dec-2019","30-Jan-2020","14301.65","14447.6","14150","14386.25","14447.6","14386.25","32","228.21","5000","1000","      14301.60"
"NESTLEIND","13-Dec-2019","27-Feb-2020","0","0","0","14403.7","14403.7","14473.45","0","0","50","0","      14301.60"
"NESTLEIND","16-Dec-2019","26-Dec-2019","14320","14455.25","14150.15","14166","14175","14166","1235","8790.98","412750","-3350","      14151.65"
"NESTLEIND","16-Dec-2019","30-Jan-2020","14389.2","14389.2","14225","14230.85","14225","14230.85","45","321.31","5800","800","      14151.65"
"NESTLEIND","16-Dec-2019","27-Feb-2020","0","0","0","14403.7","14403.7","14315.4","0","0","50","0","      14151.65"
"NESTLEIND","17-Dec-2019","26-Dec-2019","14181.65","14279.95","14076.25","14194.85","14183.3","14194.85","1175","8346.46","408450","-4300","      14149.15"
"NESTLEIND","17-Dec-2019","30-Jan-2020","14199","14330.25","14199","14262.35","14260","14262.35","156","1114.16","11800","6000","      14149.15"
"NESTLEIND","17-Dec-2019","27-Feb-2020","14307.1","14307.1","14300","14300","14300","14310.5","2","14.3","150","100","      14149.15"
"NESTLEIND","18-Dec-2019","26-Dec-2019","14171.15","14284.95","14054.6","14214.35","14273.9","14214.35","1707","12091.04","409650","1200","      14191.10"
"NESTLEIND","18-Dec-2019","30-Jan-2020","14200.65","14349.7","14137.1","14296.75","14349.7","14296.75","281","2002.41","14200","2400","      14191.10"
"NESTLEIND","18-Dec-2019","27-Feb-2020","14225.15","14225.15","14225.15","14225.15","14225.15","14350.95","1","7.11","100","-50","      14191.10"
"NESTLEIND","19-Dec-2019","26-Dec-2019","14238.15","14335","14130.35","14308.9","14298.9","14308.9","1369","9735.51","403050","-6600","      14285.40"
"NESTLEIND","19-Dec-2019","30-Jan-2020","14289.25","14400","14212.4","14376","14372","14376","439","3132.56","25600","11400","      14285.40"
"NESTLEIND","19-Dec-2019","27-Feb-2020","14271.85","14271.85","14271.85","14271.85","14271.85","14443.5","1","7.14","50","-50","      14285.40"
"NESTLEIND","20-Dec-2019","26-Dec-2019","14270.2","14963.45","14245.95","14833.05","14600","14833.05","8018","58985.11","346150","-56900","      14858.25"
"NESTLEIND","20-Dec-2019","30-Jan-2020","14372","15029.95","14372","14914.15","14725","14914.15","2332","17209.41","96100","70500","      14858.25"
"NESTLEIND","20-Dec-2019","27-Feb-2020","14547.05","14547.05","14547.05","14547.05","14547.05","15020.1","1","7.27","100","50","      14858.25"
"NESTLEIND","23-Dec-2019","26-Dec-2019","14752.2","14999","14536.1","14577.6","14548.55","14577.6","4496","33083.67","243950","-102200","      14532.50"
"NESTLEIND","23-Dec-2019","30-Jan-2020","14806.2","15069.95","14610","14648.8","14617.9","14648.8","3289","24284.16","208800","112700","      14532.50"
"NESTLEIND","23-Dec-2019","27-Feb-2020","14780","14780","14780","14780","14780","14683.5","1","7.39","150","50","      14532.50"
"NESTLEIND","24-Dec-2019","26-Dec-2019","14571","14637","14516.85","14624.35","14617.15","14624.35","3500","25526.31","104650","-139300","      14586.00"
"NESTLEIND","24-Dec-2019","30-Jan-2020","14600","14720","14580.8","14706","14696.05","14706","3543","25979.62","348150","139350","      14586.00"
"NESTLEIND","24-Dec-2019","27-Feb-2020","14987","14987","14686.45","14686.45","14686.45","14735.65","5","36.87","400","250","      14586.00"
"NESTLEIND","26-Dec-2019","26-Dec-2019","14649.75","14718.75","14550.3","14602.35","14571.2","14599.25","2491","18198.85","11950","-92700","      14599.25"
"NESTLEIND","26-Dec-2019","30-Jan-2020","14750.05","14808.2","14660.3","14702.25","14694.15","14702.25","2605","19152.05","434800","86650","      14599.25"
"NESTLEIND","26-Dec-2019","27-Feb-2020","14771.45","14771.45","14760","14760","14760","14744.35","4","29.54","400","0","      14599.25"
"NESTLEIND","27-Dec-2019","30-Jan-2020","14755","14793.95","14659.8","14772.4","14768.95","14772.4","722","5323.51","437650","2850","      14664.15"
"NESTLEIND","27-Dec-2019","27-Feb-2020","14862.4","14862.4","14862.4","14862.4","14862.4","14862.4","1","7.43","450","50","      14664.15"
"NESTLEIND","27-Dec-2019","26-Mar-2020","0","0","0","14809.35","0","14872.2","0","0","0","0","      14664.15"
"NESTLEIND","30-Dec-2019","30-Jan-2020","14740.05","14985","14719.95","14945.85","14978","14945.85","1679","12499.82","436150","-1500","      14851.90"
"NESTLEIND","30-Dec-2019","27-Feb-2020","14880","15010","14880","15006.95","15010","15006.95","17","127.01","850","400","      14851.90"
"NESTLEIND","30-Dec-2019","26-Mar-2020","0","0","0","14809.35","0","15056.4","0","0","0","0","      14851.90"
"NESTLEIND","31-Dec-2019","30-Jan-2020","14983.3","14994","14809.2","14861.9","14862.3","14861.9","1286","9567.06","440900","4750","      14785.35"
"NESTLEIND","31-Dec-2019","27-Feb-2020","14973","14973","14973","14973","14973","14920.65","1","7.49","850","0","      14785.35"
"NESTLEIND","31-Dec-2019","26-Mar-2020","0","0","0","14809.35","0","14986.4","0","0","0","0","      14785.35"
"NESTLEIND","01-Jan-2020","30-Jan-2020","14861.9","14912.8","14780.1","14874.75","14875","14874.75","548","4069.08","439550","-1350","      14779.05"
"NESTLEIND","01-Jan-2020","27-Feb-2020","14910","14910","14890.4","14890.4","14890.4","14912.3","2","14.9","900","50","      14779.05"
"NESTLEIND","01-Jan-2020","26-Mar-2020","15079.1","15079.1","15079.1","15079.1","15079.1","14978.25","1","7.54","50","50","      14779.05"
"NESTLEIND","02-Jan-2020","30-Jan-2020","14920.4","14935.25","14790","14825.85","14814.2","14825.85","975","7234.84","447600","8050","      14729.35"
"NESTLEIND","02-Jan-2020","27-Feb-2020","14917.4","14917.4","14917.4","14917.4","14917.4","14859.5","1","7.46","950","50","      14729.35"
"NESTLEIND","02-Jan-2020","26-Mar-2020","14978.25","14978.25","14978.25","14978.25","14978.25","14925.15","1","7.49","100","50","      14729.35"
"NESTLEIND","03-Jan-2020","30-Jan-2020","14825","14841.25","14630","14674.5","14686","14674.5","1154","8482.54","443250","-4350","      14593.60"
"NESTLEIND","03-Jan-2020","27-Feb-2020","14810","14810","14751.25","14751.25","14751.25","14720.45","3","22.16","1000","50","      14593.60"
"NESTLEIND","03-Jan-2020","26-Mar-2020","14641.5","14641.5","14641.5","14641.5","14641.5","14785.4","1","7.32","50","-50","      14593.60"
"NESTLEIND","06-Jan-2020","30-Jan-2020","14511.25","14598.65","14347.1","14493.9","14475","14493.9","1407","10166.47","437100","-6150","      14416.65"
"NESTLEIND","06-Jan-2020","27-Feb-2020","14531.15","14583.2","14401","14571.6","14571.6","14534.45","14","101.35","1050","50","      14416.65"
"NESTLEIND","06-Jan-2020","26-Mar-2020","14785.4","14785.4","14785.4","14785.4","14785.4","14598.45","1","7.39","50","0","      14416.65"
"NESTLEIND","07-Jan-2020","30-Jan-2020","14301.45","14596.7","14301.45","14371.25","14380","14371.25","1405","10142.7","455000","17900","      14290.75"
"NESTLEIND","07-Jan-2020","27-Feb-2020","14579.95","14600","14457.75","14455.8","14457.75","14455.8","25","181.67","1650","600","      14290.75"
"NESTLEIND","07-Jan-2020","26-Mar-2020","0","0","0","14785.4","14785.4","14469.1","0","0","50","0","      14290.75"
"NESTLEIND","08-Jan-2020","30-Jan-2020","14201.25","14473.7","14168.3","14446","14414.3","14446","948","6809.08","450550","-4450","      14391.25"
"NESTLEIND","08-Jan-2020","27-Feb-2020","14349","14499.15","14349","14499.15","14499.15","14499.15","13","93.75","1850","200","      14391.25"
"NESTLEIND","08-Jan-2020","26-Mar-2020","0","0","0","14785.4","14785.4","14568.45","0","0","50","0","      14391.25"
"NESTLEIND","09-Jan-2020","30-Jan-2020","14530.5","14730","14482","14705.85","14705","14705.85","966","7072.12","451450","900","      14643.45"
"NESTLEIND","09-Jan-2020","27-Feb-2020","14602","14765.85","14602","14767.6","14765.85","14767.6","36","264.64","2500","650","      14643.45"
"NESTLEIND","09-Jan-2020","26-Mar-2020","14660","14660","14660","14660","14660","14821.9","1","7.33","100","50","      14643.45"
"NESTLEIND","10-Jan-2020","30-Jan-2020","14650.05","14775","14612.35","14746.5","14730.7","14746.5","890","6544.33","456650","5200","      14685.85"
"NESTLEIND","10-Jan-2020","27-Feb-2020","14750","14809.55","14750","14789.9","14789.9","14797.35","14","103.53","2900","400","      14685.85"
"NESTLEIND","10-Jan-2020","26-Mar-2020","14979.15","14979.15","14979.15","14979.15","14979.15","14979.15","1","7.49","150","50","      14685.85"
"NESTLEIND","13-Jan-2020","30-Jan-2020","14768.4","14781.5","14667.6","14724.6","14725.25","14724.6","666","4902.77","452250","-4400","      14658.25"
"NESTLEIND","13-Jan-2020","27-Feb-2020","14785.85","14800.2","14764","14787.55","14796.05","14787.55","26","192.17","3650","750","      14658.25"
"NESTLEIND","13-Jan-2020","26-Mar-2020","0","0","0","14979.15","14979.15","14827.6","0","0","150","0","      14658.25"
"NESTLEIND","14-Jan-2020","30-Jan-2020","14700.65","14959.15","14649.5","14929.75","14941.8","14929.75","1600","11876.75","462500","10250","      14868.60"
"NESTLEIND","14-Jan-2020","27-Feb-2020","14745","15000","14745","15000","15000","14971.85","26","193.91","4350","700","      14868.60"
"NESTLEIND","14-Jan-2020","26-Mar-2020","0","0","0","14979.15","14979.15","15037.95","0","0","150","0","      14868.60"
"NESTLEIND","15-Jan-2020","30-Jan-2020","14900","15024","14808","14918.95","14885.6","14918.95","855","6367.69","460750","-1750","      14860.20"
"NESTLEIND","15-Jan-2020","27-Feb-2020","15001.15","15051","14873.4","14982.3","14964.05","14982.3","24","179.73","4800","450","      14860.20"
"NESTLEIND","15-Jan-2020","26-Mar-2020","15037.95","15037.95","15037.95","15037.95","15037.95","15027.25","1","7.52","150","0","      14860.20"
"NESTLEIND","16-Jan-2020","30-Jan-2020","14931.95","15455","14930","15390","15395","15390","4229","32260.75","476250","15500","      15354.90"
"NESTLEIND","16-Jan-2020","27-Feb-2020","15104.7","15510","15100","15482.2","15464","15482.2","115","883.1","6000","1200","      15354.90"
"NESTLEIND","16-Jan-2020","26-Mar-2020","15375.55","15375.55","15375.55","15375.55","15375.55","15524.7","1","7.69","150","0","      15354.90"
"NESTLEIND","17-Jan-2020","30-Jan-2020","15425","15619.8","15385.15","15473.05","15470","15473.05","2051","15886.84","467000","-9250","      15439.45"
"NESTLEIND","17-Jan-2020","27-Feb-2020","15490","15656","15470","15538.7","15540.05","15538.7","58","451.48","6350","350","      15439.45"
"NESTLEIND","17-Jan-2020","26-Mar-2020","15695","15695","15652.5","15652.5","15652.5","15608.55","2","15.67","150","0","      15439.45"
"NESTLEIND","20-Jan-2020","30-Jan-2020","15408","15499.7","15329.95","15460.95","15476.2","15460.95","1229","9483.88","466000","-1000","      15417.25"
"NESTLEIND","20-Jan-2020","27-Feb-2020","15545","15555.25","15402.45","15519.35","15532.1","15519.35","52","402.94","6700","350","      15417.25"
"NESTLEIND","20-Jan-2020","26-Mar-2020","15608.55","15608.55","15608.55","15608.55","15608.55","15578.75","1","7.8","100","-50","      15417.25"
"NESTLEIND","21-Jan-2020","30-Jan-2020","15412.9","15539.65","15275.1","15335.1","15318.6","15335.1","1228","9440.67","456750","-9250","      15280.75"
"NESTLEIND","21-Jan-2020","27-Feb-2020","15539.55","15609.2","15358.1","15408.75","15404.35","15408.75","65","502.83","7350","650","      15280.75"
"NESTLEIND","21-Jan-2020","26-Mar-2020","0","0","0","15608.55","15608.55","15438.3","0","0","100","0","      15280.75"
"NESTLEIND","22-Jan-2020","30-Jan-2020","15371.5","15632.95","15353.45","15599.85","15600","15599.85","1485","11534.2","456700","-50","      15548.70"
"NESTLEIND","22-Jan-2020","27-Feb-2020","15434.8","15691","15434.8","15668.35","15691","15668.35","122","952.19","10400","3050","      15548.70"
"NESTLEIND","22-Jan-2020","26-Mar-2020","15738.85","15738.85","15680","15700","15700","15706.4","5","39.27","250","150","      15548.70"
"NESTLEIND","23-Jan-2020","30-Jan-2020","15586.55","15650.1","15486.15","15567.9","15572.05","15567.9","878","6837.83","452600","-4100","      15548.85"
"NESTLEIND","23-Jan-2020","27-Feb-2020","15601","15716.8","15589.3","15645.15","15658.8","15645.15","85","665.31","11900","1500","      15548.85"
"NESTLEIND","23-Jan-2020","26-Mar-2020","15793.45","15793.45","15700","15700","15700","15700","2","15.75","300","50","      15548.85"
"NESTLEIND","24-Jan-2020","30-Jan-2020","15554.75","15884.95","15500","15796.9","15801.7","15796.9","1416","11146.29","448350","-4250","      15755.50"
"NESTLEIND","24-Jan-2020","27-Feb-2020","15650","15937.4","15650","15867.3","15881.9","15867.3","336","2656.82","19200","7300","      15755.50"
"NESTLEIND","24-Jan-2020","26-Mar-2020","15700","15789.15","15700","15789.15","15789.15","15910.6","3","23.61","400","100","      15755.50"
"NESTLEIND","27-Jan-2020","30-Jan-2020","15738.7","15862.1","15553.55","15635.55","15601.85","15635.55","1949","15344.02","414700","-33650","      15666.05"
"NESTLEIND","27-Jan-2020","27-Feb-2020","15817.3","15920","15618","15709.75","15683.85","15709.75","952","7535.06","50650","31450","      15666.05"
"NESTLEIND","27-Jan-2020","26-Mar-2020","15790","15790","15790","15790","15790","15812.8","1","7.9","450","50","      15666.05"
"NESTLEIND","28-Jan-2020","30-Jan-2020","15748.65","15748.65","15327.15","15421.95","15450","15421.95","3400","26312.13","297650","-117050","      15416.65"
"NESTLEIND","28-Jan-2020","27-Feb-2020","15807.2","15807.2","15400.05","15490.2","15502.95","15490.2","2618","20350.5","145550","94900","      15416.65"
"NESTLEIND","28-Jan-2020","26-Mar-2020","15640.45","15640.45","15555","15558.3","15555","15558.3","8","62.34","550","100","      15416.65"
"NESTLEIND","29-Jan-2020","30-Jan-2020","15530.7","15869","15418.85","15834.7","15805.2","15834.7","3481","27307.3","163650","-134000","      15866.75"
"NESTLEIND","29-Jan-2020","27-Feb-2020","15535.7","15947.8","15509.95","15912.6","15900","15912.6","3642","28722.72","282000","136450","      15866.75"
"NESTLEIND","29-Jan-2020","26-Mar-2020","15661.9","16000","15661.9","15979.5","15967","15979.5","19","150.28","1250","700","      15866.75"
"NESTLEIND","30-Jan-2020","30-Jan-2020","15700.1","15774","15478.4","15496.05","15513.8","15520.5","3741","29332.1","28900","-134750","      15520.80"
"NESTLEIND","30-Jan-2020","27-Feb-2020","15800.15","15855.2","15557.7","15589.8","15619.95","15589.8","4376","34457.76","432300","150300","      15520.80"
"NESTLEIND","30-Jan-2020","26-Mar-2020","15892","15892","15649.55","15649.55","15649.55","15649.55","15","118.6","1300","50","      15520.80"
